,Country_Region,Lattitude,Longtitude
0,Afghanistan,33.7680065,66.2385139
1,Albania,41.000028,19.9999619
2,Algeria,28.000027199999998,2.9999825
3,Andorra,42.540716700000004,1.5732033
4,Angola,-11.877576800000002,17.5691241
5,Antigua and Barbuda,17.223472100000002,-61.9554608
6,Argentina,-34.9964963,-64.9672817
7,Armenia,40.7696272,44.6736646
8,Australia,-24.7761086,134.755
9,Austria,47.2000338,13.199959
10,Azerbaijan,40.3936294,47.787250799999995
11,Bahamas,24.7736546,-78.0000547
12,Bahrain,26.155124899999997,50.5344606
13,Bangladesh,24.4768783,90.2932426
14,Barbados,13.1500331,-59.52503050000001
15,Belarus,53.4250605,27.6971358
16,Belgium,50.6402809,4.666714499999999
17,Belize,16.8259793,-88.7600927
18,Benin,9.5293472,2.2584408
19,Bhutan,27.549511,90.5119273
20,Bolivia,-17.056869600000002,-64.9912286
21,Bosnia and Herzegovina,44.305347600000005,17.596146700000002
22,Brazil,-10.333333300000001,-53.2
23,Brunei,4.4137154999999995,114.5653908
24,Bulgaria,42.6073975,25.4856617
25,Burkina Faso,12.075308300000001,-1.6880313999999998
26,Cabo Verde,16.0000552,-24.0083947
27,Cambodia,13.5066394,104.869423
28,Cameroon,4.6125522000000005,13.153581099999998
29,Canada,61.0666922,-107.9917071
30,Central African Republic,7.0323598,19.9981227
31,Chad,15.613413699999999,19.015617199999998
32,Chile,-31.7613365,-71.3187697
33,China,35.000074,104.999927
34,Colombia,2.8894433999999998,-73.78389200000001
35,Congo (Brazzaville),-0.7264326999999999,15.6419155
36,Congo (Kinshasa),-2.9814344,23.822263600000003
37,Costa Rica,10.2735633,-84.0739102
38,Cote d'Ivoire,7.9897371,-5.5679457999999995
39,Croatia,45.5643442,17.0118954
40,Cuba,23.013133800000002,-80.8328748
41,Cyprus,34.982301799999995,33.1451285
42,Czechia,49.816700299999994,15.4749544
43,Denmark,55.670249,10.333328300000002
44,Diamond Princess,53.895358400000006,27.555407799999998
45,Djibouti,11.8145966,42.8453061
46,Dominica,19.0974031,-70.30280259999999
47,Dominican Republic,19.0974031,-70.30280259999999
48,Ecuador,-1.3397668,-79.3666965
49,Egypt,26.254049300000002,29.2675469
50,El Salvador,13.800038199999998,-88.9140683
51,Equatorial Guinea,1.6131719999999998,10.5170357
52,Eritrea,15.950031900000003,37.999966799999996
53,Estonia,58.75237779999999,25.3319078
54,Eswatini,-26.562480600000004,31.399131699999998
55,Ethiopia,10.211670199999999,38.6521203
56,Fiji,-18.123969600000002,179.0122737
57,Finland,63.2467777,25.9209164
58,France,46.603353999999996,1.8883334999999999
59,Gabon,-0.8999695,11.689969900000001
60,Gambia,13.470061999999999,-15.4900464
61,Georgia,32.329380900000004,-83.1137366
62,Germany,51.0834196,10.4234469
63,Ghana,8.0300284,-1.0800271000000001
64,Greece,38.995368299999996,21.987713199999998
65,Grenada,12.136037400000001,-61.69040450000001
66,Guatemala,15.635608800000002,-89.8988087
67,Guinea,10.7226226,-10.7083587
68,Guinea-Bissau,12.100035,-14.9000214
69,Guyana,4.8417097,-58.64168910000001
70,Haiti,19.139995199999998,-72.35709720000001
71,Holy See,38.9247244,-77.06572732690151
72,Honduras,15.2572432,-86.0755145
73,Hungary,47.1817585,19.5060937
74,Iceland,64.9841821,-18.1059013
75,India,22.3511148,78.6677428
76,Indonesia,-2.4833826,117.89028529999999
77,Iran,32.6475314,54.56435160000001
78,Iraq,33.0955793,44.174977500000004
79,Ireland,52.865196,-7.9794599
